,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
392,Rocha,UY,-54.3333,-34.4833,59,73.67,5.93,1
393,Malbork,PL,19.0266,54.0359,76,33.12,10.45,100
394,Natal,BR,-35.2094,-5.795,74,84.85,14.97,75
395,Wamba,NG,8.6,8.9333,16,96.08,9.42,36
396,Landerneau,FR,-4.2525,48.4525,97,56.12,14.97,90
397,Kumul,CN,93.45,42.8,53,27.46,1.66,4
398,Shitkino,RU,98.3543,56.3703,79,-6.2,10.65,1
399,Wilmington Island,US,-80.9737,32.0036,73,44.98,4.61,1
400,Vysokogornyy,RU,139.15,50.1167,93,-15.54,4.56,100
401,Kavaratti,IN,72.642,10.5669,62,79.88,4.14,14
402,Bichura,RU,107.6022,50.5881,96,-11.36,3.36,14
403,Batagay-Alyta,RU,130.4114,67.8006,90,-28.19,4.03,60
404,Nishihara,JP,127.7558,26.1842,88,69.08,17.27,75
405,Morón,AR,-58.6198,-34.6534,63,79.0,6.85,0
406,Yar-Sale,RU,70.8333,66.8333,91,12.87,21.88,99
